Fecha,Último
may-90,16.24
jun-90,16.14
jul-90,19.84
ago-90,26.75
sep-90,39.1
oct-90,34.41
nov-90,29.2
dic-90,28.27
ene-91,20.06
feb-91,18.68
mar-91,17.95
abr-91,19.42
may-91,19.21
jun-91,18.72
jul-91,19.74
ago-91,20.7
sep-91,21.05
oct-91,22.1
nov-91,20.13
dic-91,17.61
ene-92,18.15
feb-92,17.55
mar-92,18.14
abr-92,19.66
may-92,20.79
jun-92,20.41
jul-92,20.47
ago-92,19.87
sep-92,20.34
oct-92,19.45
nov-92,18.84
dic-92,18.29
ene-93,18.47
feb-93,18.92
mar-93,18.9
abr-93,19.15
may-93,18.6
jun-93,17.51
jul-93,16.75
ago-93,17.08
sep-93,17.43
oct-93,15.8
nov-93,14.52
dic-93,13.2
ene-94,14.22
feb-94,13.35
mar-94,13.25
abr-94,15.69
may-94,16.45
jun-94,17.52
jul-94,18.59
ago-94,16.24
sep-94,17.15
oct-94,16.92
nov-94,17.11
dic-94,16.5
ene-95,16.8
feb-95,16.87
mar-95,17.5
abr-95,19.06
may-95,17.7
jun-95,16.38
jul-95,16.01
ago-95,16.25
sep-95,16.12
oct-95,16.33
nov-95,17.04
dic-95,18.33
ene-96,16.52
feb-96,17.76
mar-96,19.41
abr-96,19.02
may-96,17.8
jun-96,18.91
jul-96,18.9
ago-96,20.78
sep-96,23.21
oct-96,22.67
nov-96,22.77
dic-96,23.81
ene-97,22.52
feb-97,18.85
mar-97,19.38
abr-97,18.52
may-97,19.4
jun-97,18.51
jul-97,18.94
ago-97,18.51
sep-97,19.9
oct-97,20.02
nov-97,18.94
dic-97,16.52
ene-98,15.96
feb-98,14.17
mar-98,14.26
abr-98,14.46
may-98,14.37
jun-98,13.38
jul-98,13.09
ago-98,12.56
sep-98,14.68
oct-98,13.22
nov-98,10.46
dic-98,10.53
ene-99,11.35
feb-99,10.88
mar-99,15.24
abr-99,16.57
may-99,15.2
jun-99,17.51
jul-99,19.37
ago-99,21.33
sep-99,23.58
oct-99,21.69
nov-99,23.64
dic-99,25.08
ene-00,25.97
feb-00,28.09
mar-00,24.77
abr-00,23.89
may-00,28.31
jun-00,30.57
jul-00,26.93
ago-00,31.72
sep-00,29.84
oct-00,30.76
nov-00,31.88
dic-00,23.87
ene-01,26.66
feb-01,25.57
mar-01,24.74
abr-01,27.89
may-01,29.34
jun-01,26.08
jul-01,24.69
ago-01,26.41
sep-01,23.26
oct-01,20.37
nov-01,19.14
dic-01,19.9
ene-02,19.18
feb-02,21.33
mar-02,25.92
abr-02,26.47
may-02,24.45
jun-02,25.58
jul-02,25.44
ago-02,27.47
sep-02,28.75
oct-02,25.72
nov-02,25.16
dic-02,28.66
